Day,Month,Year,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
1,11,2007,Charter,Departure,International,3
1,11,2007,Scheduled,Departure,Domestic,21003
1,11,2007,Scheduled,Arrival,International,4104
1,11,2007,Charter,Departure,Domestic,34
1,11,2007,Charter,Arrival,Domestic,37
1,11,2007,Scheduled,Arrival,Domestic,20920
1,12,2007,Charter,Arrival,International,2
1,12,2007,Scheduled,Departure,Domestic,21516
1,12,2007,Scheduled,Arrival,International,4577
1,12,2007,Charter,Departure,Domestic,31
1,12,2007,Scheduled,Departure,International,4551
1,12,2007,Scheduled,Arrival,Domestic,21414
1,12,2007,Charter,Departure,International,1
1,12,2007,Charter,Arrival,Domestic,38
1,1,2008,Charter,Arrival,Domestic,38
1,1,2008,Scheduled,Departure,Domestic,20254
1,1,2008,Scheduled,Departure,International,4406
1,1,2008,Scheduled,Arrival,Domestic,20194
1,1,2008,Charter,Departure,Domestic,43
1,1,2008,Charter,Departure,International,7
1,1,2008,Charter,Arrival,International,8
1,1,2008,Scheduled,Arrival,International,4399
1,2,2008,Scheduled,Departure,International,4004
1,2,2008,Scheduled,Arrival,International,3993
1,2,2008,Charter,Arrival,Domestic,16
1,2,2008,Charter,Arrival,International,5
1,2,2008,Scheduled,Arrival,Domestic,18711
1,2,2008,Scheduled,Departure,Domestic,18769
1,2,2008,Charter,Departure,International,5
1,2,2008,Charter,Departure,Domestic,19
1,3,2008,Charter,Departure,International,6
1,3,2008,Charter,Arrival,International,5
1,3,2008,Scheduled,Departure,Domestic,19984
1,3,2008,Scheduled,Arrival,International,4381
1,3,2008,Charter,Arrival,Domestic,39
1,3,2008,Scheduled,Departure,International,4373
1,3,2008,Charter,Departure,Domestic,38
1,3,2008,Scheduled,Arrival,Domestic,19917
1,4,2008,Scheduled,Departure,International,4159
1,4,2008,Scheduled,Arrival,Domestic,19477
1,4,2008,Charter,Departure,Domestic,26
1,4,2008,Charter,Departure,International,4
1,4,2008,Charter,Arrival,Domestic,24
1,4,2008,Scheduled,Arrival,International,4166
1,4,2008,Charter,Arrival,International,5
1,4,2008,Scheduled,Departure,Domestic,19532
1,5,2008,Scheduled,Departure,International,4213
1,5,2008,Charter,Arrival,International,1
1,5,2008,Charter,Arrival,Domestic,20
1,5,2008,Scheduled,Departure,Domestic,20244
1,5,2008,Charter,Departure,International,1
1,5,2008,Scheduled,Arrival,Domestic,20217
1,5,2008,Scheduled,Arrival,International,4199
1,5,2008,Charter,Departure,Domestic,15
1,6,2008,Scheduled,Arrival,Domestic,20817
1,6,2008,Scheduled,Arrival,International,4280
1,6,2008,Charter,Arrival,Domestic,30
1,6,2008,Scheduled,Departure,Domestic,20704
1,6,2008,Scheduled,Departure,International,4291
1,6,2008,Charter,Arrival,International,1
1,6,2008,Charter,Departure,Domestic,26
1,7,2008,Charter,Arrival,International,2
1,7,2008,Scheduled,Arrival,Domestic,21271
1,7,2008,Scheduled,Arrival,International,4454
1,7,2008,Scheduled,Departure,Domestic,21380
1,7,2008,Charter,Arrival,Domestic,14
1,7,2008,Scheduled,Departure,International,4444
1,7,2008,Charter,Departure,Domestic,16
1,8,2008,Scheduled,Departure,Domestic,20943
1,8,2008,Scheduled,Arrival,Domestic,20856
1,8,2008,Scheduled,Departure,International,4347
1,8,2008,Charter,Arrival,International,1
1,8,2008,Charter,Departure,International,2
1,8,2008,Charter,Arrival,Domestic,14
1,8,2008,Scheduled,Arrival,International,4345
1,8,2008,Charter,Departure,Domestic,12
1,9,2008,Charter,Departure,International,3
1,9,2008,Scheduled,Departure,Domestic,17364
1,9,2008,Scheduled,Arrival,Domestic,17334
1,9,2008,Charter,Departure,Domestic,14
1,9,2008,Scheduled,Arrival,International,3773
1,9,2008,Charter,Arrival,Domestic,14
1,9,2008,Charter,Arrival,International,3
1,9,2008,Scheduled,Departure,International,3781
1,10,2008,Charter,Departure,International,9
1,10,2008,Charter,Arrival,Domestic,21
1,10,2008,Scheduled,Departure,Domestic,18079
1,10,2008,Charter,Departure,Domestic,23
1,10,2008,Scheduled,Departure,International,3777
1,10,2008,Scheduled,Arrival,Domestic,18015
1,10,2008,Scheduled,Arrival,International,3793
1,11,2008,Scheduled,Arrival,Domestic,16393
1,11,2008,Charter,Departure,Domestic,28
